#sgRNA,Time,Rep1,Rep1,Avg1,Avg,SD,Condition,Strain,Other Name,sgRNA,ss,,sgRNA_#,Gene,Product,Locus Tag,EG,K56-2_Locus_Tag,Stock,Stock2,Leg,Leg2,Legend,Pathway,COG,COD ID
,13,0.657125,0.657125,0.657125,0.657125,0,(+) Rhamnose,,dCas9/ pZR45_1 (C1),1396,CRISPRi Mutants,_,1396_dCas9/ pZR45_1 (C1),parA parB operon,chromosome partitioning protein ParB,sgRNA1 targeting parB operon;grow in LB+ TP100,WQ49_RS21425,K562_RS17180,373,373,(,),1396(373),Chromosome and associated proteins,K,COG1475
,14,0.757125,0.757125,0.757125,0.757125,0,(+) Rhamnose,,dCas9/ pZR45_1 (C1),1396,CRISPRi Mutants,_,1396_dCas9/ pZR45_1 (C1),parA parB operon,chromosome partitioning protein ParB,sgRNA1 targeting parB operon;grow in LB+ TP100,WQ49_RS21425,K562_RS17180,373,373,(,),1396(373),Chromosome and associated proteins,K,COG1475
,15,0.840125,0.840125,0.840125,0.840125,0,(+) Rhamnose,,dCas9/ pZR45_1 (C1),1396,CRISPRi Mutants,_,1396_dCas9/ pZR45_1 (C1),parA parB operon,chromosome partitioning protein ParB,sgRNA1 targeting parB operon;grow in LB+ TP100,WQ49_RS21425,K562_RS17180,373,373,(,),1396(373),Chromosome and associated proteins,K,COG1475
,16,0.911625,0.911625,0.911625,0.911625,0,(+) Rhamnose,,dCas9/ pZR45_1 (C1),1396,CRISPRi Mutants,_,1396_dCas9/ pZR45_1 (C1),parA parB operon,chromosome partitioning protein ParB,sgRNA1 targeting parB operon;grow in LB+ TP100,WQ49_RS21425,K562_RS17180,373,373,(,),1396(373),Chromosome and associated proteins,K,COG1475
,17,0.969125,0.969125,0.969125,0.969125,0,(+) Rhamnose,,dCas9/ pZR45_1 (C1),1396,CRISPRi Mutants,_,1396_dCas9/ pZR45_1 (C1),parA parB operon,chromosome partitioning protein ParB,sgRNA1 targeting parB operon;grow in LB+ TP100,WQ49_RS21425,K562_RS17180,373,373,(,),1396(373),Chromosome and associated proteins,K,COG1475
,18,1.001125,1.001125,1.001125,1.001125,0,(+) Rhamnose,,dCas9/ pZR45_1 (C1),1396,CRISPRi Mutants,_,1396_dCas9/ pZR45_1 (C1),parA parB operon,chromosome partitioning protein ParB,sgRNA1 targeting parB operon;grow in LB+ TP100,WQ49_RS21425,K562_RS17180,373,373,(,),1396(373),Chromosome and associated proteins,K,COG1475
,19,1.016625,1.016625,1.016625,1.016625,0,(+) Rhamnose,,dCas9/ pZR45_1 (C1),1396,CRISPRi Mutants,_,1396_dCas9/ pZR45_1 (C1),parA parB operon,chromosome partitioning protein ParB,sgRNA1 targeting parB operon;grow in LB+ TP100,WQ49_RS21425,K562_RS17180,373,373,(,),1396(373),Chromosome and associated proteins,K,COG1475
,0,0.003125,0.003125,0.003125,0.003125,0,(+) Rhamnose,,dCas9/ pZR45_2 (C1),1397,CRISPRi Mutants,_,1397_dCas9/ pZR45_2 (C1),parA parB operon,chromosome partitioning protein ParA,sgRNA2 targeting parB operon;grow in LB+ TP100,WQ49_RS21430,K562_RS17175,374,374,(,),1397(374),Chromosome and associated proteins,D,COG1192
,1,0.003125,0.003125,0.00875,0.00875,0,(+) Rhamnose,,dCas9/ pZR45_2 (C1),1397,CRISPRi Mutants,_,1397_dCas9/ pZR45_2 (C1),parA parB operon,chromosome partitioning protein ParA,sgRNA2 targeting parB operon;grow in LB+ TP100,WQ49_RS21430,K562_RS17175,374,374,(,),1397(374),Chromosome and associated proteins,D,COG1192
,2,0.01325,0.005125,0.005125,0.005125,0,(+) Rhamnose,,dCas9/ pZR45_2 (C1),1397,CRISPRi Mutants,_,1397_dCas9/ pZR45_2 (C1),parA parB operon,chromosome partitioning protein ParA,sgRNA2 targeting parB operon;grow in LB+ TP100,WQ49_RS21430,K562_RS17175,374,374,(,),1397(374),Chromosome and associated proteins,D,COG1192
,3,0.02025,0.007625,0.02075,0.02075,0,(+) Rhamnose,,dCas9/ pZR45_2 (C1),1397,CRISPRi Mutants,_,1397_dCas9/ pZR45_2 (C1),parA parB operon,chromosome partitioning protein ParA,sgRNA2 targeting parB operon;grow in LB+ TP100,WQ49_RS21430,K562_RS17175,374,374,(,),1397(374),Chromosome and associated proteins,D,COG1192
,4,0.013625,0.013625,0.013625,0.013625,0,(+) Rhamnose,,dCas9/ pZR45_2 (C1),1397,CRISPRi Mutants,_,1397_dCas9/ pZR45_2 (C1),parA parB operon,chromosome partitioning protein ParA,sgRNA2 targeting parB operon;grow in LB+ TP100,WQ49_RS21430,K562_RS17175,374,374,(,),1397(374),Chromosome and associated proteins,D,COG1192
,5,0.025125,0.025125,0.025125,0.025125,0,(+) Rhamnose,,dCas9/ pZR45_2 (C1),1397,CRISPRi Mutants,_,1397_dCas9/ pZR45_2 (C1),parA parB operon,chromosome partitioning protein ParA,sgRNA2 targeting parB operon;grow in LB+ TP100,WQ49_RS21430,K562_RS17175,374,374,(,),1397(374),Chromosome and associated proteins,D,COG1192
,6,0.048625,0.048625,0.048625,0.048625,0,(+) Rhamnose,,dCas9/ pZR45_2 (C1),1397,CRISPRi Mutants,_,1397_dCas9/ pZR45_2 (C1),parA parB operon,chromosome partitioning protein ParA,sgRNA2 targeting parB operon;grow in LB+ TP100,WQ49_RS21430,K562_RS17175,374,374,(,),1397(374),Chromosome and associated proteins,D,COG1192
,7,0.096125,0.096125,0.096125,0.096125,0,(+) Rhamnose,,dCas9/ pZR45_2 (C1),1397,CRISPRi Mutants,_,1397_dCas9/ pZR45_2 (C1),parA parB operon,chromosome partitioning protein ParA,sgRNA2 targeting parB operon;grow in LB+ TP100,WQ49_RS21430,K562_RS17175,374,374,(,),1397(374),Chromosome and associated proteins,D,COG1192
,8,0.190125,0.190125,0.190125,0.190125,0,(+) Rhamnose,,dCas9/ pZR45_2 (C1),1397,CRISPRi Mutants,_,1397_dCas9/ pZR45_2 (C1),parA parB operon,chromosome partitioning protein ParA,sgRNA2 targeting parB operon;grow in LB+ TP100,WQ49_RS21430,K562_RS17175,374,374,(,),1397(374),Chromosome and associated proteins,D,COG1192
,9,0.364625,0.364625,0.364625,0.364625,0,(+) Rhamnose,,dCas9/ pZR45_2 (C1),1397,CRISPRi Mutants,_,1397_dCas9/ pZR45_2 (C1),parA parB operon,chromosome partitioning protein ParA,sgRNA2 targeting parB operon;grow in LB+ TP100,WQ49_RS21430,K562_RS17175,374,374,(,),1397(374),Chromosome and associated proteins,D,COG1192
,10,0.601125,0.601125,0.601125,0.601125,0,(+) Rhamnose,,dCas9/ pZR45_2 (C1),1397,CRISPRi Mutants,_,1397_dCas9/ pZR45_2 (C1),parA parB operon,chromosome partitioning protein ParA,sgRNA2 targeting parB operon;grow in LB+ TP100,WQ49_RS21430,K562_RS17175,374,374,(,),1397(374),Chromosome and associated proteins,D,COG1192
,11,0.803625,0.803625,0.803625,0.803625,0,(+) Rhamnose,,dCas9/ pZR45_2 (C1),1397,CRISPRi Mutants,_,1397_dCas9/ pZR45_2 (C1),parA parB operon,chromosome partitioning protein ParA,sgRNA2 targeting parB operon;grow in LB+ TP100,WQ49_RS21430,K562_RS17175,374,374,(,),1397(374),Chromosome and associated proteins,D,COG1192
,12,0.931625,0.931625,0.931625,0.931625,0,(+) Rhamnose,,dCas9/ pZR45_2 (C1),1397,CRISPRi Mutants,_,1397_dCas9/ pZR45_2 (C1),parA parB operon,chromosome partitioning protein ParA,sgRNA2 targeting parB operon;grow in LB+ TP100,WQ49_RS21430,K562_RS17175,374,374,(,),1397(374),Chromosome and associated proteins,D,COG1192
,13,1.031625,1.031625,1.031625,1.031625,0,(+) Rhamnose,,dCas9/ pZR45_2 (C1),1397,CRISPRi Mutants,_,1397_dCas9/ pZR45_2 (C1),parA parB operon,chromosome partitioning protein ParA,sgRNA2 targeting parB operon;grow in LB+ TP100,WQ49_RS21430,K562_RS17175,374,374,(,),1397(374),Chromosome and associated proteins,D,COG1192
,14,1.110625,1.110625,1.110625,1.110625,0,(+) Rhamnose,,dCas9/ pZR45_2 (C1),1397,CRISPRi Mutants,_,1397_dCas9/ pZR45_2 (C1),parA parB operon,chromosome partitioning protein ParA,sgRNA2 targeting parB operon;grow in LB+ TP100,WQ49_RS21430,K562_RS17175,374,374,(,),1397(374),Chromosome and associated proteins,D,COG1192
,15,1.168125,1.168125,1.168125,1.168125,0,(+) Rhamnose,,dCas9/ pZR45_2 (C1),1397,CRISPRi Mutants,_,1397_dCas9/ pZR45_2 (C1),parA parB operon,chromosome partitioning protein ParA,sgRNA2 targeting parB operon;grow in LB+ TP100,WQ49_RS21430,K562_RS17175,374,374,(,),1397(374),Chromosome and associated proteins,D,COG1192
,16,1.195625,1.195625,1.195625,1.195625,0,(+) Rhamnose,,dCas9/ pZR45_2 (C1),1397,CRISPRi Mutants,_,1397_dCas9/ pZR45_2 (C1),parA parB operon,chromosome partitioning protein ParA,sgRNA2 targeting parB operon;grow in LB+ TP100,WQ49_RS21430,K562_RS17175,374,374,(,),1397(374),Chromosome and associated proteins,D,COG1192
,17,1.201625,1.201625,1.201625,1.201625,0,(+) Rhamnose,,dCas9/ pZR45_2 (C1),1397,CRISPRi Mutants,_,1397_dCas9/ pZR45_2 (C1),parA parB operon,chromosome partitioning protein ParA,sgRNA2 targeting parB operon;grow in LB+ TP100,WQ49_RS21430,K562_RS17175,374,374,(,),1397(374),Chromosome and associated proteins,D,COG1192
,18,1.202625,1.202625,1.202625,1.202625,0,(+) Rhamnose,,dCas9/ pZR45_2 (C1),1397,CRISPRi Mutants,_,1397_dCas9/ pZR45_2 (C1),parA parB operon,chromosome partitioning protein ParA,sgRNA2 targeting parB operon;grow in LB+ TP100,WQ49_RS21430,K562_RS17175,374,374,(,),1397(374),Chromosome and associated proteins,D,COG1192
,19,1.200125,1.200125,1.200125,1.200125,0,(+) Rhamnose,,dCas9/ pZR45_2 (C1),1397,CRISPRi Mutants,_,1397_dCas9/ pZR45_2 (C1),parA parB operon,chromosome partitioning protein ParA,sgRNA2 targeting parB operon;grow in LB+ TP100,WQ49_RS21430,K562_RS17175,374,374,(,),1397(374),Chromosome and associated proteins,D,COG1192
,0,0.004625,0.004625,0.004625,0.004625,0,(+) Rhamnose,,dCas9/ pZR45_3 (C1),1398,CRISPRi Mutants,_,1398_dCas9/ pZR45_3 (C1),parA parB operon,chromosome partitioning protein ParB,sgRNA3 targeting parB operon;grow in LB+ TP100,WQ49_RS21425,K562_RS17180,375,375,(,),1398(375),Chromosome and associated proteins,K,COG1475
,1,0.003625,0.003625,0.00875,0.00875,0,(+) Rhamnose,,dCas9/ pZR45_3 (C1),1398,CRISPRi Mutants,_,1398_dCas9/ pZR45_3 (C1),parA parB operon,chromosome partitioning protein ParB,sgRNA3 targeting parB operon;grow in LB+ TP100,WQ49_RS21425,K562_RS17180,375,375,(,),1398(375),Chromosome and associated proteins,K,COG1475
,2,0.01325,0.004625,0.004625,0.004625,0,(+) Rhamnose,,dCas9/ pZR45_3 (C1),1398,CRISPRi Mutants,_,1398_dCas9/ pZR45_3 (C1),parA parB operon,chromosome partitioning protein ParB,sgRNA3 targeting parB operon;grow in LB+ TP100,WQ49_RS21425,K562_RS17180,375,375,(,),1398(375),Chromosome and associated proteins,K,COG1475
,3,0.02025,0.005625,0.02075,0.02075,0,(+) Rhamnose,,dCas9/ pZR45_3 (C1),1398,CRISPRi Mutants,_,1398_dCas9/ pZR45_3 (C1),parA parB operon,chromosome partitioning protein ParB,sgRNA3 targeting parB operon;grow in LB+ TP100,WQ49_RS21425,K562_RS17180,375,375,(,),1398(375),Chromosome and associated proteins,K,COG1475
,4,0.008625,0.008625,0.008625,0.008625,0,(+) Rhamnose,,dCas9/ pZR45_3 (C1),1398,CRISPRi Mutants,_,1398_dCas9/ pZR45_3 (C1),parA parB operon,chromosome partitioning protein ParB,sgRNA3 targeting parB operon;grow in LB+ TP100,WQ49_RS21425,K562_RS17180,375,375,(,),1398(375),Chromosome and associated proteins,K,COG1475
,5,0.015625,0.015625,0.015625,0.015625,0,(+) Rhamnose,,dCas9/ pZR45_3 (C1),1398,CRISPRi Mutants,_,1398_dCas9/ pZR45_3 (C1),parA parB operon,chromosome partitioning protein ParB,sgRNA3 targeting parB operon;grow in LB+ TP100,WQ49_RS21425,K562_RS17180,375,375,(,),1398(375),Chromosome and associated proteins,K,COG1475
,6,0.028125,0.028125,0.028125,0.028125,0,(+) Rhamnose,,dCas9/ pZR45_3 (C1),1398,CRISPRi Mutants,_,1398_dCas9/ pZR45_3 (C1),parA parB operon,chromosome partitioning protein ParB,sgRNA3 targeting parB operon;grow in LB+ TP100,WQ49_RS21425,K562_RS17180,375,375,(,),1398(375),Chromosome and associated proteins,K,COG1475
,7,0.051625,0.051625,0.051625,0.051625,0,(+) Rhamnose,,dCas9/ pZR45_3 (C1),1398,CRISPRi Mutants,_,1398_dCas9/ pZR45_3 (C1),parA parB operon,chromosome partitioning protein ParB,sgRNA3 targeting parB operon;grow in LB+ TP100,WQ49_RS21425,K562_RS17180,375,375,(,),1398(375),Chromosome and associated proteins,K,COG1475
,8,0.091125,0.091125,0.091125,0.091125,0,(+) Rhamnose,,dCas9/ pZR45_3 (C1),1398,CRISPRi Mutants,_,1398_dCas9/ pZR45_3 (C1),parA parB operon,chromosome partitioning protein ParB,sgRNA3 targeting parB operon;grow in LB+ TP100,WQ49_RS21425,K562_RS17180,375,375,(,),1398(375),Chromosome and associated proteins,K,COG1475
,9,0.155625,0.155625,0.155625,0.155625,0,(+) Rhamnose,,dCas9/ pZR45_3 (C1),1398,CRISPRi Mutants,_,1398_dCas9/ pZR45_3 (C1),parA parB operon,chromosome partitioning protein ParB,sgRNA3 targeting parB operon;grow in LB+ TP100,WQ49_RS21425,K562_RS17180,375,375,(,),1398(375),Chromosome and associated proteins,K,COG1475
,10,0.245125,0.245125,0.245125,0.245125,0,(+) Rhamnose,,dCas9/ pZR45_3 (C1),1398,CRISPRi Mutants,_,1398_dCas9/ pZR45_3 (C1),parA parB operon,chromosome partitioning protein ParB,sgRNA3 targeting parB operon;grow in LB+ TP100,WQ49_RS21425,K562_RS17180,375,375,(,),1398(375),Chromosome and associated proteins,K,COG1475
,11,0.359125,0.359125,0.359125,0.359125,0,(+) Rhamnose,,dCas9/ pZR45_3 (C1),1398,CRISPRi Mutants,_,1398_dCas9/ pZR45_3 (C1),parA parB operon,chromosome partitioning protein ParB,sgRNA3 targeting parB operon;grow in LB+ TP100,WQ49_RS21425,K562_RS17180,375,375,(,),1398(375),Chromosome and associated proteins,K,COG1475
,12,0.484125,0.484125,0.484125,0.484125,0,(+) Rhamnose,,dCas9/ pZR45_3 (C1),1398,CRISPRi Mutants,_,1398_dCas9/ pZR45_3 (C1),parA parB operon,chromosome partitioning protein ParB,sgRNA3 targeting parB operon;grow in LB+ TP100,WQ49_RS21425,K562_RS17180,375,375,(,),1398(375),Chromosome and associated proteins,K,COG1475
,13,0.608125,0.608125,0.608125,0.608125,0,(+) Rhamnose,,dCas9/ pZR45_3 (C1),1398,CRISPRi Mutants,_,1398_dCas9/ pZR45_3 (C1),parA parB operon,chromosome partitioning protein ParB,sgRNA3 targeting parB operon;grow in LB+ TP100,WQ49_RS21425,K562_RS17180,375,375,(,),1398(375),Chromosome and associated proteins,K,COG1475
,14,0.723625,0.723625,0.723625,0.723625,0,(+) Rhamnose,,dCas9/ pZR45_3 (C1),1398,CRISPRi Mutants,_,1398_dCas9/ pZR45_3 (C1),parA parB operon,chromosome partitioning protein ParB,sgRNA3 targeting parB operon;grow in LB+ TP100,WQ49_RS21425,K562_RS17180,375,375,(,),1398(375),Chromosome and associated proteins,K,COG1475
,15,0.814625,0.814625,0.814625,0.814625,0,(+) Rhamnose,,dCas9/ pZR45_3 (C1),1398,CRISPRi Mutants,_,1398_dCas9/ pZR45_3 (C1),parA parB operon,chromosome partitioning protein ParB,sgRNA3 targeting parB operon;grow in LB+ TP100,WQ49_RS21425,K562_RS17180,375,375,(,),1398(375),Chromosome and associated proteins,K,COG1475
,16,0.892125,0.892125,0.892125,0.892125,0,(+) Rhamnose,,dCas9/ pZR45_3 (C1),1398,CRISPRi Mutants,_,1398_dCas9/ pZR45_3 (C1),parA parB operon,chromosome partitioning protein ParB,sgRNA3 targeting parB operon;grow in LB+ TP100,WQ49_RS21425,K562_RS17180,375,375,(,),1398(375),Chromosome and associated proteins,K,COG1475
,17,0.953125,0.953125,0.953125,0.953125,0,(+) Rhamnose,,dCas9/ pZR45_3 (C1),1398,CRISPRi Mutants,_,1398_dCas9/ pZR45_3 (C1),parA parB operon,chromosome partitioning protein ParB,sgRNA3 targeting parB operon;grow in LB+ TP100,WQ49_RS21425,K562_RS17180,375,375,(,),1398(375),Chromosome and associated proteins,K,COG1475
,18,0.992625,0.992625,0.992625,0.992625,0,(+) Rhamnose,,dCas9/ pZR45_3 (C1),1398,CRISPRi Mutants,_,1398_dCas9/ pZR45_3 (C1),parA parB operon,chromosome partitioning protein ParB,sgRNA3 targeting parB operon;grow in LB+ TP100,WQ49_RS21425,K562_RS17180,375,375,(,),1398(375),Chromosome and associated proteins,K,COG1475
,19,1.011625,1.011625,1.011625,1.011625,0,(+) Rhamnose,,dCas9/ pZR45_3 (C1),1398,CRISPRi Mutants,_,1398_dCas9/ pZR45_3 (C1),parA parB operon,chromosome partitioning protein ParB,sgRNA3 targeting parB operon;grow in LB+ TP100,WQ49_RS21425,K562_RS17180,375,375,(,),1398(375),Chromosome and associated proteins,K,COG1475
,0,0.004125,0.004125,0.004125,0.004125,0,(+) Rhamnose,,dCas9/ pZR45_4 (C1),1399,CRISPRi Mutants,_,1399_dCas9/ pZR45_4 (C1),parA parB operon,chromosome partitioning protein ParA,sgRNA4 targeting parB operon;grow in LB+ TP100,WQ49_RS21430,K562_RS17175,376,376,(,),1399(376),Chromosome and associated proteins,D,COG1192
,1,0.002625,0.002625,0.00875,0.00875,0,(+) Rhamnose,,dCas9/ pZR45_4 (C1),1399,CRISPRi Mutants,_,1399_dCas9/ pZR45_4 (C1),parA parB operon,chromosome partitioning protein ParA,sgRNA4 targeting parB operon;grow in LB+ TP100,WQ49_RS21430,K562_RS17175,376,376,(,),1399(376),Chromosome and associated proteins,D,COG1192
,2,0.01325,0.003125,0.003125,0.003125,0,(+) Rhamnose,,dCas9/ pZR45_4 (C1),1399,CRISPRi Mutants,_,1399_dCas9/ pZR45_4 (C1),parA parB operon,chromosome partitioning protein ParA,sgRNA4 targeting parB operon;grow in LB+ TP100,WQ49_RS21430,K562_RS17175,376,376,(,),1399(376),Chromosome and associated proteins,D,COG1192
,3,0.02025,0.004625,0.02075,0.02075,0,(+) Rhamnose,,dCas9/ pZR45_4 (C1),1399,CRISPRi Mutants,_,1399_dCas9/ pZR45_4 (C1),parA parB operon,chromosome partitioning protein ParA,sgRNA4 targeting parB operon;grow in LB+ TP100,WQ49_RS21430,K562_RS17175,376,376,(,),1399(376),Chromosome and associated proteins,D,COG1192
,4,0.007125,0.007125,0.007125,0.007125,0,(+) Rhamnose,,dCas9/ pZR45_4 (C1),1399,CRISPRi Mutants,_,1399_dCas9/ pZR45_4 (C1),parA parB operon,chromosome partitioning protein ParA,sgRNA4 targeting parB operon;grow in LB+ TP100,WQ49_RS21430,K562_RS17175,376,376,(,),1399(376),Chromosome and associated proteins,D,COG1192
,5,0.013625,0.013625,0.013625,0.013625,0,(+) Rhamnose,,dCas9/ pZR45_4 (C1),1399,CRISPRi Mutants,_,1399_dCas9/ pZR45_4 (C1),parA parB operon,chromosome partitioning protein ParA,sgRNA4 targeting parB operon;grow in LB+ TP100,WQ49_RS21430,K562_RS17175,376,376,(,),1399(376),Chromosome and associated proteins,D,COG1192
,6,0.025625,0.025625,0.025625,0.025625,0,(+) Rhamnose,,dCas9/ pZR45_4 (C1),1399,CRISPRi Mutants,_,1399_dCas9/ pZR45_4 (C1),parA parB operon,chromosome partitioning protein ParA,sgRNA4 targeting parB operon;grow in LB+ TP100,WQ49_RS21430,K562_RS17175,376,376,(,),1399(376),Chromosome and associated proteins,D,COG1192
,7,0.048125,0.048125,0.048125,0.048125,0,(+) Rhamnose,,dCas9/ pZR45_4 (C1),1399,CRISPRi Mutants,_,1399_dCas9/ pZR45_4 (C1),parA parB operon,chromosome partitioning protein ParA,sgRNA4 targeting parB operon;grow in LB+ TP100,WQ49_RS21430,K562_RS17175,376,376,(,),1399(376),Chromosome and associated proteins,D,COG1192
,8,0.088125,0.088125,0.088125,0.088125,0,(+) Rhamnose,,dCas9/ pZR45_4 (C1),1399,CRISPRi Mutants,_,1399_dCas9/ pZR45_4 (C1),parA parB operon,chromosome partitioning protein ParA,sgRNA4 targeting parB operon;grow in LB+ TP100,WQ49_RS21430,K562_RS17175,376,376,(,),1399(376),Chromosome and associated proteins,D,COG1192
,9,0.158625,0.158625,0.158625,0.158625,0,(+) Rhamnose,,dCas9/ pZR45_4 (C1),1399,CRISPRi Mutants,_,1399_dCas9/ pZR45_4 (C1),parA parB operon,chromosome partitioning protein ParA,sgRNA4 targeting parB operon;grow in LB+ TP100,WQ49_RS21430,K562_RS17175,376,376,(,),1399(376),Chromosome and associated proteins,D,COG1192
,10,0.256125,0.256125,0.256125,0.256125,0,(+) Rhamnose,,dCas9/ pZR45_4 (C1),1399,CRISPRi Mutants,_,1399_dCas9/ pZR45_4 (C1),parA parB operon,chromosome partitioning protein ParA,sgRNA4 targeting parB operon;grow in LB+ TP100,WQ49_RS21430,K562_RS17175,376,376,(,),1399(376),Chromosome and associated proteins,D,COG1192
,11,0.383625,0.383625,0.383625,0.383625,0,(+) Rhamnose,,dCas9/ pZR45_4 (C1),1399,CRISPRi Mutants,_,1399_dCas9/ pZR45_4 (C1),parA parB operon,chromosome partitioning protein ParA,sgRNA4 targeting parB operon;grow in LB+ TP100,WQ49_RS21430,K562_RS17175,376,376,(,),1399(376),Chromosome and associated proteins,D,COG1192
,12,0.513125,0.513125,0.513125,0.513125,0,(+) Rhamnose,,dCas9/ pZR45_4 (C1),1399,CRISPRi Mutants,_,1399_dCas9/ pZR45_4 (C1),parA parB operon,chromosome partitioning protein ParA,sgRNA4 targeting parB operon;grow in LB+ TP100,WQ49_RS21430,K562_RS17175,376,376,(,),1399(376),Chromosome and associated proteins,D,COG1192
,13,0.644625,0.644625,0.644625,0.644625,0,(+) Rhamnose,,dCas9/ pZR45_4 (C1),1399,CRISPRi Mutants,_,1399_dCas9/ pZR45_4 (C1),parA parB operon,chromosome partitioning protein ParA,sgRNA4 targeting parB operon;grow in LB+ TP100,WQ49_RS21430,K562_RS17175,376,376,(,),1399(376),Chromosome and associated proteins,D,COG1192
,14,0.754125,0.754125,0.754125,0.754125,0,(+) Rhamnose,,dCas9/ pZR45_4 (C1),1399,CRISPRi Mutants,_,1399_dCas9/ pZR45_4 (C1),parA parB operon,chromosome partitioning protein ParA,sgRNA4 targeting parB operon;grow in LB+ TP100,WQ49_RS21430,K562_RS17175,376,376,(,),1399(376),Chromosome and associated proteins,D,COG1192
,15,0.837625,0.837625,0.837625,0.837625,0,(+) Rhamnose,,dCas9/ pZR45_4 (C1),1399,CRISPRi Mutants,_,1399_dCas9/ pZR45_4 (C1),parA parB operon,chromosome partitioning protein ParA,sgRNA4 targeting parB operon;grow in LB+ TP100,WQ49_RS21430,K562_RS17175,376,376,(,),1399(376),Chromosome and associated proteins,D,COG1192
,16,0.911125,0.911125,0.911125,0.911125,0,(+) Rhamnose,,dCas9/ pZR45_4 (C1),1399,CRISPRi Mutants,_,1399_dCas9/ pZR45_4 (C1),parA parB operon,chromosome partitioning protein ParA,sgRNA4 targeting parB operon;grow in LB+ TP100,WQ49_RS21430,K562_RS17175,376,376,(,),1399(376),Chromosome and associated proteins,D,COG1192
,17,0.971625,0.971625,0.971625,0.971625,0,(+) Rhamnose,,dCas9/ pZR45_4 (C1),1399,CRISPRi Mutants,_,1399_dCas9/ pZR45_4 (C1),parA parB operon,chromosome partitioning protein ParA,sgRNA4 targeting parB operon;grow in LB+ TP100,WQ49_RS21430,K562_RS17175,376,376,(,),1399(376),Chromosome and associated proteins,D,COG1192
,18,1.014125,1.014125,1.014125,1.014125,0,(+) Rhamnose,,dCas9/ pZR45_4 (C1),1399,CRISPRi Mutants,_,1399_dCas9/ pZR45_4 (C1),parA parB operon,chromosome partitioning protein ParA,sgRNA4 targeting parB operon;grow in LB+ TP100,WQ49_RS21430,K562_RS17175,376,376,(,),1399(376),Chromosome and associated proteins,D,COG1192
,19,1.039625,1.039625,1.039625,1.039625,0,(+) Rhamnose,,dCas9/ pZR45_4 (C1),1399,CRISPRi Mutants,_,1399_dCas9/ pZR45_4 (C1),parA parB operon,chromosome partitioning protein ParA,sgRNA4 targeting parB operon;grow in LB+ TP100,WQ49_RS21430,K562_RS17175,376,376,(,),1399(376),Chromosome and associated proteins,D,COG1192
,0,0.007125,0.007125,0.007125,0.007125,0,(+) Rhamnose,,dCas9/ pZR53_1 (C1),1433,CRISPRi Mutants,_,1433_dCas9/ pZR53_1 (C1),hemC,porphobilinogen deaminase,Contains sgRNA 1 to target hemC; grow in LB+Tp100,WQ49_RS27050,K562_RS06025,377,377,(,),1433(377),Biosynthesis of secondary metabolites,H,COG0181
,1,0.005625,0.005625,0.00875,0.00875,0,(+) Rhamnose,,dCas9/ pZR53_1 (C1),1433,CRISPRi Mutants,_,1433_dCas9/ pZR53_1 (C1),hemC,porphobilinogen deaminase,Contains sgRNA 1 to target hemC; grow in LB+Tp100,WQ49_RS27050,K562_RS06025,377,377,(,),1433(377),Biosynthesis of secondary metabolites,H,COG0181
,2,0.01325,0.006625,0.006625,0.006625,0,(+) Rhamnose,,dCas9/ pZR53_1 (C1),1433,CRISPRi Mutants,_,1433_dCas9/ pZR53_1 (C1),hemC,porphobilinogen deaminase,Contains sgRNA 1 to target hemC; grow in LB+Tp100,WQ49_RS27050,K562_RS06025,377,377,(,),1433(377),Biosynthesis of secondary metabolites,H,COG0181
,3,0.02025,0.007125,0.02075,0.02075,0,(+) Rhamnose,,dCas9/ pZR53_1 (C1),1433,CRISPRi Mutants,_,1433_dCas9/ pZR53_1 (C1),hemC,porphobilinogen deaminase,Contains sgRNA 1 to target hemC; grow in LB+Tp100,WQ49_RS27050,K562_RS06025,377,377,(,),1433(377),Biosynthesis of secondary metabolites,H,COG0181
,4,0.009625,0.009625,0.009625,0.009625,0,(+) Rhamnose,,dCas9/ pZR53_1 (C1),1433,CRISPRi Mutants,_,1433_dCas9/ pZR53_1 (C1),hemC,porphobilinogen deaminase,Contains sgRNA 1 to target hemC; grow in LB+Tp100,WQ49_RS27050,K562_RS06025,377,377,(,),1433(377),Biosynthesis of secondary metabolites,H,COG0181
,5,0.014625,0.014625,0.014625,0.014625,0,(+) Rhamnose,,dCas9/ pZR53_1 (C1),1433,CRISPRi Mutants,_,1433_dCas9/ pZR53_1 (C1),hemC,porphobilinogen deaminase,Contains sgRNA 1 to target hemC; grow in LB+Tp100,WQ49_RS27050,K562_RS06025,377,377,(,),1433(377),Biosynthesis of secondary metabolites,H,COG0181
,6,0.023625,0.023625,0.023625,0.023625,0,(+) Rhamnose,,dCas9/ pZR53_1 (C1),1433,CRISPRi Mutants,_,1433_dCas9/ pZR53_1 (C1),hemC,porphobilinogen deaminase,Contains sgRNA 1 to target hemC; grow in LB+Tp100,WQ49_RS27050,K562_RS06025,377,377,(,),1433(377),Biosynthesis of secondary metabolites,H,COG0181
