OperonID	GI	Synonym	Start	End	Strand	Length	COG_number	Product
452276	206559236	BCAL0843	913522	915279	-	585	COG0365I	AMP-binding enzyme family protein
452276	206559237	BCAL0844	915339	915992	-	217	COG4648S	hypothetical protein
452277	206559238	BCAL0845	916559	916822	+	87	-	acyl carrier protein
452277	206559239	BCAL0846	916892	917608	+	238	COG1028IQR	short chain dehydrogenase
452277	206559240	BCAL0847	917646	918950	+	434	COG0251J	putative dioxygenase
452278	206559243	BCAL0850	920934	922634	-	566	COG1620C	glycolate permease
452278	206559244	BCAL0851	922683	924128	-	481	COG1139C	putative iron-sulphur cluster containing protein
452278	206559245	BCAL0852	924125	924850	-	241	COG1556S	hypothetical protein
452278	206559246	BCAL0853	924847	925644	-	265	COG0247C	hypothetical protein
452279	206559254	BCAL0861	933259	934854	+	531	COG2814G	major facilitator superfamily protein
452279	206559255	BCAL0862	934913	935359	+	148	COG1846K	MarR family regulatory protein
452280	206559258	BCAL0865	937677	938504	+	275	COG1737K	RpiR family regulatory protein
452280	206559259	BCAL0866	938507	939988	+	493	COG3653Q	D-aminoacylase
452280	206559260	BCAL0867	940067	940453	+	128	COG0251J	YjgF family protein
452281	206559261	BCAL0868	940536	941366	-	276	COG2904S	7-cyano-7-deazaguanine reductase
452281	206559262	BCAL0869	941379	942902	-	507	COG1171E	threonine dehydratase
452282	206559263	BCAL0870	943488	947513	+	1341	COG0247C	putative oxidoreductase
452282	206559264	BCAL0871	947598	948041	+	147	COG0537FGR	hypothetical protein
452282	206559265	BCAL0872	948038	948451	+	137	COG3536S	hypothetical protein
452282	206559266	BCAL0873	948504	949235	+	243	COG2226H	ubiquinone/menaquinone biosynthesis methyltransferase
452282	206559267	BCAL0874	949277	950308	+	343	COG4395S	hypothetical protein
452283	206559268	BCAL0875	950473	951099	+	208	COG3165S	hypothetical protein
452283	206559269	BCAL0876	951112	952689	+	525	COG0661R	putative ubiquinone biosynthesis protein UbiB
452283	206559270	BCAL0877	952707	953333	+	208	-	putative methyltransferase
452284	206559271	BCAL0878	953429	953782	+	117	COG2331S	hypothetical protein
452284	206559272	BCAL0879	953847	954494	+	215	COG2928S	hypothetical protein
452284	206559273	BCAL0880	954561	956363	+	600	COG0173J	aspartyl-tRNA synthetase
452285	206559274	BCAL0881	956523	957017	+	164	COG0494LR	dATP pyrophosphohydrolase
452285	206559275	BCAL0882	957014	958288	+	424	COG1502I	putative phospholipase D
452286	206559276	BCAL0883	958489	959088	+	199	COG1309K	TetR family regulatory protein
452286	206559277	BCAL0884	959147	960934	+	595	COG1960I	putative acyl-CoA dehydrogenase oxidoreductase protein
452286	206559278	BCAL0885	961048	963483	+	811	COG1250I	putative 3-hydroxyacyl-CoA dehydrogenase oxidoreductase
452286	206559279	BCAL0886	963554	964753	+	399	COG0183I	acetyl-CoA acetyltransferase
452287	206559285	BCAL0892	969788	970510	-	240	COG1208MJ	putative nucleotidyl transferase
452287	206559286	BCAL0893	970533	971582	-	349	COG3178R	phosphotransferase enzyme family protein
452288	206559287	BCAL0894	971807	974167	+	786	COG1452M	hypothetical protein
452288	206559288	BCAL0895	974249	975577	+	442	COG0760O	putative peptidyl-prolyl cis-trans isomerase
452288	206559289	BCAL0896	975589	976578	+	329	COG1995H	4-hydroxythreonine-4-phosphate dehydrogenase
452289	206559293	BCAL0900	979351	980238	-	295	COG1451R	hypothetical protein
452289	206559294	BCAL0901	980284	981048	-	254	COG0204I	putative acyltransferase
452289	206559295	BCAL0902	981092	981655	-	187	COG0241E	D,D-heptose 1,7-bisphosphate phosphatase
452289	206559296	BCAL0903	981666	983765	-	699	COG0751J	glycyl-tRNA synthetase subunit beta
452289	206559297	BCAL0904	983788	984792	-	334	COG0752J	glycyl-tRNA synthetase subunit alpha
452290	206559299	BCAL0906	986795	988495	-	566	COG0815M	apolipoprotein N-acyltransferase
452290	206559300	BCAL0907	988548	989435	-	295	COG4535P	putative cation transporter efflux protein
452291	206559301	BCAL0908	989923	990555	-	210	COG3703P	ChaC-like protein
452291	206559302	BCAL0909	990568	991344	-	258	COG0319R	unkown domain/putative metalloprotease fusion protein
452292	206559303	BCAL0910	991496	992542	-	348	COG1702T	putative PhoH-family protein
452292	206559304	BCAL0911	992572	993945	-	457	COG0621J	(dimethylallyl)adenosine tRNA methylthiotransferase
452293	206559310	BCAL0917	999434	1000420	-	328	COG0673R	putative oxidoreductase
452293	206559311	BCAL0918	1000459	1001286	-	275	COG4130G	hypothetical protein
452293	206559312	BCAL0919	1001327	1002352	-	341	-	hypothetical protein
452294	206559314	BCAL0921	1003735	1004817	+	360	COG3239I	fatty acid desaturase
452294	206559315	BCAL0922	1004854	1005162	+	102	COG2146PR	2Fe-2S ferredoxin
452294	206559316	BCAL0923	1005167	1006417	+	416	COG1251C	putative oxidoreductases
452295	206559318	BCAL0925	1007276	1008787	-	503	COG0554C	glycerol kinase
452295	206559319	BCAL0926	1008883	1010406	-	507	COG0578C	glycerol-3-phosphate dehydrogenase
452296	206559324	BCAL0931	1014490	1015317	+	275	-	hypothetical protein
452296	206559325	BCAL0932	1015388	1015894	+	168	-	hypothetical protein
452297	206559327	BCAL0934	1017459	1018757	-	432	COG2010C	putative periplasmic cytochrome c containing protein
452297	206559328	BCAL0935	1018777	1019541	-	254	COG2863C	putative periplasmic cytochrome c protein
452298	206559336	BCAL0943	1028948	1029298	-	116	COG0662G	hypothetical protein
452298	206559337	BCAL0944	1029319	1030002	-	227	COG4977K	DJ-1/PfpI family protein
452299	206559344	BCAL0951	1038662	1040209	-	515	COG0642T	two-component regulatory system, sensor kinase protein
452299	206559345	BCAL0952	1040227	1040955	-	242	COG0745TK	two-component regulatory system, response regulator protein
452300	206559346	BCAL0953	1041169	1042212	+	347	COG0468L	recombinase A
452300	206559347	BCAL0954	1042212	1043075	+	287	COG2137R	recombination regulator RecX
452301	206559348	BCAL0955	1043231	1043821	+	196	-	hypothetical protein
452301	206559349	BCAL0956	1043890	1045056	+	388	COG0045C	succinyl-CoA synthetase subunit beta
452301	206559350	BCAL0957	1045121	1046002	+	293	COG0074C	succinyl-CoA synthetase subunit alpha
452302	206559357	BCAL0964	1053136	1053723	-	195	-	hypothetical protein
452302	206559358	BCAL0965	1053716	1054753	-	345	COG0429R	putative hydrolase
452302	206559359	BCAL0966	1054787	1055233	-	148	-	hypothetical protein
452303	206559362	BCAL0969	1056864	1057769	-	301	COG2207K	AraC family regulatory protein
452303	206559363	BCAL0970	1057790	1058275	-	161	COG3045S	CreA protein 2
452304	206559366	BCAL0973	1060610	1061272	+	220	COG1556S	hypothetical protein
452304	206559367	BCAL0974	1061316	1062746	+	476	COG1055P	hypothetical protein
452304	206559368	BCAL0975	1062828	1063817	+	329	COG1052CHR	putative 2-ketogluconate reductase
452304	206559369	BCAL0976	1063820	1065289	+	489	COG1322S	RmuC family protein
452305	206559370	BCAL0977	1065380	1065865	-	161	COG0456R	acetyltransferase (GNAT) family protein
452305	206559371	BCAL0978	1065862	1066137	-	91	-	hypothetical protein
452305	206559372	BCAL0979	1066177	1067442	-	421	COG0303H	molybdopterin biosynthesis protein MoeA 2
452306	206559373	BCAL0980	1067554	1068171	-	205	COG0746H	molybdopterin-guanine dinucleotide biosynthesis protein MobA
452306	206559374	BCAL0981	1068194	1069306	-	370	COG2896H	molybdenum cofactor biosynthesis protein A
452307	206559376	BCAL0983	1073321	1074325	+	334	COG0564J	ribosomal large subunit pseudouridine synthase C 2
452307	206559377	BCAL0984	1074331	1074990	+	219	COG0546R	haloacid dehalogenase-like hydrolase
452307	206559378	BCAL0985	1074987	1075388	+	133	COG2146PR	Rieske iron-sulphur protein
452307	206559379	BCAL0986	1075401	1076393	+	330	COG0616OU	family S49 serine peptidase
452308	206559380	BCAL0987	1076462	1077184	-	240	COG0313R	putative tetrapyrrole methylase
452308	206559381	BCAL0988	1077181	1077813	-	210	COG0424D	Maf-like protein
452309	206559382	BCAL0989	1078044	1078679	+	211	COG1399R	hypothetical protein
452309	206559383	BCAL0990	1078778	1078957	+	59	COG0333J	50S ribosomal protein L32
452310	206559384	BCAL0991	1079087	1080193	+	368	COG0416I	putative glycerol-3-phosphate acyltransferase PlsX
452310	206559385	BCAL0992	1080194	1081183	+	329	COG0332I	3-oxoacyl-(acyl carrier protein) synthase III
452310	206559386	BCAL0993	1081268	1082200	+	310	COG0331I	malonyl CoA-acyl carrier protein transacylase 2
452310	206559387	BCAL0994	1082237	1082986	+	249	COG1028IQR	3-ketoacyl-(acyl-carrier-protein) reductase
452311	206559389	BCAL0996	1083535	1084767	+	410	COG0304IQ	3-oxoacyl-(acyl carrier protein) synthase II
452311	206559390	BCAL0997	1084779	1085243	+	154	-	hypothetical protein
452312	206559392	BCAL0999	1086009	1086638	+	209	COG3073T	sigma-E factor negative regulatory protein 2
452312	206559393	BCAL1000	1086644	1087696	+	350	COG3026T	sigma-E factor regulatory protein RseB 2
452312	206559394	BCAL1001	1087713	1089197	+	494	COG0265O	serine protease MucD 2
452312	206559395	BCAL1002	1089205	1089441	+	78	-	family S33 serine peptidase
452313	206559396	BCAL1003	1089631	1091424	+	597	COG0481M	GTP-binding protein LepA
452313	206559397	BCAL1004	1091441	1092334	+	297	COG0681U	signal peptidase I
452314	206559398	BCAL1005	1092488	1093717	+	409	COG0571K	ribonuclease III
452314	206559399	BCAL1006	1093778	1094677	+	299	COG1159R	GTP-binding protein Era
452314	206559400	BCAL1007	1094664	1095500	+	278	COG1381L	DNA repair protein RecO
452314	206559401	BCAL1008	1095497	1096273	+	258	COG0854H	pyridoxine 5'-phosphate synthase
452314	206559402	BCAL1009	1096355	1096789	+	144	COG0736I	4'-phosphopantetheinyl transferase
452314	206559403	BCAL1010	1096806	1097834	+	342	COG1472G	beta-hexosaminidase
452315	206559411	BCAL1022	1109499	1110047	-	182	COG1247M	acetyltransferase (GNAT) family protein
452315	206559412	BCAL1023	1110098	1110718	-	206	-	putative DNA-binding protein
452316	206559413	BCAL1024	1110866	1111102	+	78	-	hypothetical protein
452316	206559414	BCAL1025	1111102	1111908	+	268	COG0024J	putative methionine aminopeptidase
452317	206559419	BCAL1032	1116367	1117236	-	289	COG3336S	hypothetical protein
452317	206559420	BCAL1033	1117247	1117693	-	148	COG2847S	hypothetical protein
452317	206559421	BCAL1034	1117702	1118337	-	211	COG1999R	SCO1/SenC family protein
452318	206559422	BCAL1035	1118616	1119368	+	250	COG1877G	putative trehalose-phosphatase
452318	206559423	BCAL1036	1119365	1120750	+	461	COG0380G	alpha,alpha-trehalose-phosphate synthase
452319	206559424	BCAL1037	1120837	1121361	+	174	COG2963L	putative transposase
452319	206559425	BCAL1038	1121361	1122197	+	278	COG2801L	putative transposase
452320	206559428	BCAL1041	1125967	1126770	+	267	-	hypothetical protein
452320	206559429	BCAL1042	1126810	1127274	+	154	COG3556S	hypothetical protein
452321	206559438	BCAL1051	1139046	1140467	+	473	COG1032C	radical SAM superfamily protein
452321	206559439	BCAL1052	1140471	1141355	+	294	COG3394S	hypothetical protein
452321	206559440	BCAL1053	1141352	1142401	+	349	-	hypothetical protein
452322	206559442	BCAL1055	1143412	1144101	+	229	COG4215E	histidine transport system permease
452322	206559443	BCAL1056	1144098	1144811	+	237	COG4160E	histidine transport system permease
452322	206559444	BCAL1057	1144832	1145632	+	266	COG4598E	histidine ABC transporter ATP-binding protein
452322	206559445	BCAL1058	1145664	1146695	+	343	COG4977K	AraC family regulatory protein
452323	206559446	BCAL1059	1147734	1148927	+	397	COG4992E	bifunctional N-succinyldiaminopimelate-aminotransferase/acetylornithine transaminase protein
452323	206559447	BCAL1060	1148958	1150025	+	355	COG3138E	putative arginine N-succinyltransferase subunit alpha
452323	206559448	BCAL1061	1150022	1151053	+	343	COG3138E	putative arginine N-succinyltransferase subunit beta
452323	206559449	BCAL1062	1151061	1152524	+	487	COG1012C	succinylglutamic semialdehyde dehydrogenase
452323	206559450	BCAL1063	1152539	1153879	+	446	COG3724E	succinylarginine dihydrolase
452323	206559451	BCAL1064	1153887	1154930	+	347	COG2988E	succinylglutamate desuccinylase
452324	206559453	BCAL1066	1156157	1156993	-	278	COG2801L	putative integrase
452324	206559454	BCAL1067	1156993	1157520	-	175	COG2963L	putative transposase
452325	206559455	BCAL1068	1157624	1159135	-	503	COG1639T	hypothetical protein
452325	206559456	BCAL1069	1159161	1160903	-	580	COG2200T	putative cyclic-di-GMP signaling protein
452326	206559461	BCAL1074	1164925	1165365	+	146	COG2080C	isoquinoline 1-oxidoreductase subunit alpha
452326	206559462	BCAL1075	1165349	1167553	+	734	COG1529C	putative isoquinoline 1-oxidoreductase subunit beta
452327	206559463	BCAL1076	1167642	1168730	+	362	COG3203M	hypothetical protein
452327	206559464	BCAL1077	1168762	1169724	+	320	COG2207K	AraC family regulatory protein
452327	206559465	BCAL1078	1169702	1170397	+	231	COG1414K	hypothetical protein
452328	206559466	BCAL1079	1170559	1173867	-	1102	COG0841V	multidrug resistance protein MdtC
452328	206559467	BCAL1080	1173871	1176990	-	1039	COG0841V	multidrug resistance protein MdtB
452328	206559468	BCAL1081	1177006	1178379	-	457	COG0845M	multidrug resistance protein MdtA
452329	206559476	BCAL1090	1186717	1187490	-	257	COG3842E	ABC transporter ATP-binding protein
452329	206559477	BCAL1091	1187495	1189195	-	566	COG1178P	ABC transporter membrane protein
452329	206559478	BCAL1092	1189185	1190228	-	347	COG1840P	ABC transporter extracellular solute-binding protein
452330	206559482	BCAL1096	1194899	1198261	+	1120	COG1330L	putative exodeoxyribonuclease V gamma chain
452330	206559483	BCAL1097	1198258	1201965	+	1235	COG1074L	putative exodeoxyribonuclease V beta chain
452330	206559484	BCAL1098	1201962	1204271	+	769	COG0507L	putative exodeoxyribonuclease V alpha chain
452330	206559485	BCAL1099	1204268	1204672	+	134	COG1186J	peptidyl-tRNA hydrolase domain-containing
452331	206559492	BCAL1106	1211250	1211882	+	210	COG4117C	cytochrome b561 family protein
452331	206559493	BCAL1107	1211912	1212700	+	262	COG2041R	putative oxidoreductase
452332	206559494	BCAL1108	1212735	1213016	-	93	COG5606S	putative DNA-binding protein
452332	206559495	BCAL1109	1213013	1213366	-	117	COG4679S	phage derived protein, Gp49-like
452333	206559498	BCAL1112	1216430	1217254	-	274	COG1409R	putative phosphodiesterase
452333	206559499	BCAL1113	1217339	1218370	-	343	COG3842E	ABC transporter ATP-binding protein
452334	206559500	BCAL1114	1218384	1219232	-	282	COG1177E	putative ABC transporter membrane protein
452334	206559501	BCAL1115	1219297	1220121	-	274	COG0555O	putative ABC transporter membrane protein
452334	206559502	BCAL1116	1220139	1221167	-	342	COG1840P	extracellular solute-binding protein
452334	206559503	BCAL1117	1221242	1222267	-	341	COG1609K	LacI family regulatory protein
452335	206559506	BCAL1120	1225499	1225702	+	67	-	hypothetical protein
452335	206559507	BCAL1121	1225706	1226032	+	108	-	hypothetical protein
452335	206559508	BCAL1122	1226078	1227535	+	485	-	hypothetical protein
452335	206559509	BCAL1123	1227532	1227840	+	102	-	hypothetical protein
452336	206559512	BCAL1127	1231981	1232850	-	289	COG2856E	hypothetical protein
452336	206559513	BCAL1128	1232843	1233166	-	107	COG1396K	putative DNA-binding protein
452337	206559515	BCAL1130	1233593	1234837	+	414	-	hypothetical protein
452337	206559516	BCAL1131	1234838	1235308	+	156	-	hypothetical protein
452338	206559520	BCAL1141	1240206	1240472	+	88	-	putative transposase
452338	206559521	BCAL1142	1240505	1241335	+	276	COG2801L	transposase
452339	206559522	BCAL1144	1242681	1243580	+	299	-	hypothetical protein
452339	206559523	BCAL1145	1243658	1245031	+	457	-	hypothetical protein
452340	206559525	BCAL1147	1246928	1248049	+	373	COG0438M	glycosyltransferase
452340	206559526	BCAL1148	1248046	1248807	+	253	COG0726G	putative polysaccharide deacetylase
452341	206559529	BCAL1151	1252017	1252754	-	245	COG1028IQR	putative short-chain dehydrogenase
452341	206559530	BCAL1152	1252797	1253699	-	300	COG4313C	hypothetical protein
452341	206559531	BCAL1153	1253723	1255252	-	509	COG1012C	putative salicylaldehyde dehydrogenase
452342	206559533	BCAL1155	1256839	1257591	-	250	COG3473Q	putative maleate cis-trans isomerase
452342	206559534	BCAL1156	1257623	1258993	-	456	COG2814G	putative 4-hydroxybenzoate transporter
452342	206559535	BCAL1157	1259005	1260144	-	379	COG0654HC	putative monooxygenase
452342	206559536	BCAL1158	1260156	1260638	-	160	COG0824R	putative thioesterase
452342	206559537	BCAL1159	1260635	1262302	-	555	COG1021Q	putative 2,3-dihydroxybenzoate-AMP ligase
452342	206559538	BCAL1160	1262324	1263205	-	293	COG0346E	glyoxalase/bleomycin resistance protein/dioxygenase superfamily protein
452342	206559539	BCAL1161	1263269	1264552	-	427	-	hypothetical protein
452343	206559541	BCAL1162a	1267171	1267554	+	127	COG2963L	putative transposase
452343	206559542	BCAL1163	1267551	1267889	+	112	COG3436L	putative transposase
452343	206559543	BCAL1164	1267953	1269506	+	517	COG3436L	putative transposase
452344	206559544	BCAL1165	1270536	1273043	+	835	COG3501S	hypothetical protein
452344	206559545	BCAL1166	1273104	1275986	+	960	-	hypothetical protein
452344	206559546	BCAL1167	1275996	1276532	+	178	-	hypothetical protein
452345	206559550	BCAL1173	1280799	1282370	-	523	COG3436L	putative transposase
452345	206559551	BCAL1174	1282422	1282769	-	115	COG3436L	putative transposase
452345	206559552	BCAL1175	1282766	1283161	-	131	COG2963L	putative transposase
452346	206559553	BCAL1176	1283421	1284362	-	313	COG1566V	putative fusaric acid resistance transport protein
452346	206559554	BCAL1176a	1284365	1284568	-	67	-	hypothetical protein
452346	206559555	BCAL1177	1284579	1286774	-	731	COG1289S	putative fusaric acid resistance transporter protein
452346	206559556	BCAL1178	1286844	1288304	-	486	COG1538MU	putative fusaric acid resistance outer membrane efflux protein
452346	206559557	BCAL1179	1288301	1289314	-	337	COG0583K	LysR family regulatory protein
452347	206559563	BCAL1186	1297008	1298159	+	383	COG0673R	putative oxidoreductase
452347	206559564	BCAL1187	1298163	1299326	+	387	-	hypothetical protein
452347	206559565	BCAL1188	1299326	1300171	+	281	COG1082G	hypothetical protein
452348	206559570	BCAL1193	1303821	1304171	-	116	-	hypothetical protein
452348	206559571	BCAL1194	1304173	1304472	-	99	-	hypothetical protein
452349	206559573	BCAL1196	1305448	1306539	-	363	-	hypothetical protein
452349	206559574	BCAL1197	1306536	1307450	-	304	-	hypothetical protein
452350	206559575	BCAL1198	1307501	1307716	-	71	-	hypothetical protein
452350	206559576	BCAL1199	1307728	1308723	-	331	COG5377L	putative phage-related protein
452351	206559577	BCAL1200	1308794	1308994	-	66	-	hypothetical protein
452351	206559578	BCAL1201	1308991	1309959	-	322	-	hypothetical protein
452352	206559579	BCAL1202	1310052	1310483	-	143	-	hypothetical protein
452352	206559580	BCAL1202A	1310476	1310670	-	64	-	hypothetical protein
452352	206559581	BCAL1203	1310718	1311389	-	223	-	hypothetical protein
452353	206559585	BCAL1208	1317635	1318063	-	142	COG2259S	hypothetical protein
452353	206559586	BCAL1209	1318121	1319242	-	373	COG1902C	flavin oxidoreductase/NADH oxidase family protein
452354	206559589	BCAL1212	1321481	1322713	+	410	COG1071C	2-oxoisovalerate dehydrogenase subunit alpha
452354	206559590	BCAL1213	1322752	1323756	+	334	COG0022C	2-oxoisovalerate dehydrogenase subunit beta
452354	206559591	BCAL1214	1323758	1325071	+	437	COG0508C	branched-chain alpha-keto acid dehydrogenase subunit E2
452354	206559592	BCAL1215	1325076	1326467	+	463	COG1249C	dihydrolipoamide dehydrogenase
452355	206559595	BCAL1218	1328487	1329455	+	322	COG0010E	agmatinase
452355	206559596	BCAL1219	1329448	1329912	+	154	COG1246E	putative acetyltransferase
452356	206559600	BCAL1223	1334278	1335588	+	436	COG2211G	major facilitator superfamily protein
452356	206559601	BCAL1224	1335614	1336891	+	425	COG0624E	allantoate amidohydrolase
452356	206559602	BCAL1225	1336915	1337937	+	340	COG0123BQ	putative aminohydrolase
452357	206559610	BCAL1233	1345815	1346225	-	136	COG0071O	putative heat shock Hsp20-related protein
452357	206559611	BCAL1234	1346242	1346679	-	145	COG0071O	putative heat shock protein
452358	206559615	BCAL1238	1349477	1349872	+	131	-	putative malonate transport-related system membrane protein
452358	206559616	BCAL1239	1349893	1350651	+	252	-	putative malonate transport-related system membrane protein
452359	206559617	BCAL1240	1350785	1352431	+	548	COG4670I	putative malonate decarboxylase alpha-subunit
452359	206559618	BCAL1241	1352442	1352756	+	104	-	malonate decarboxylase subunit delta
452359	206559619	BCAL1242	1352753	1353688	+	311	COG0777I	malonate decarboxylase subunit beta
452359	206559620	BCAL1243	1353675	1354382	+	235	-	putative malonate decarboxylase gamma-subunit
452359	206559621	BCAL1244	1354369	1355037	+	222	-	phosphoribosyl-dephospho-CoA transferase
452359	206559622	BCAL1245	1355034	1355900	+	288	COG1767H	putative coenzyme-A synthase
452359	206559623	BCAL1246	1355897	1356829	+	310	COG0331I	putative malonyl CoA-acyl carrier protein transacylase
452360	206559632	BCAL1255	1363923	1364366	-	147	COG0328L	ribonuclease HI
452360	206559633	BCAL1256	1364363	1365175	-	270	COG2226H	putative methyltransferase
452361	206559635	BCAL1258	1366167	1367753	+	528	COG0741M	putative exported transglycosylase protein
452361	206559636	BCAL1259	1367849	1369126	+	425	COG2814G	major facilitator superfamily protein
452362	206559637	BCAL1260	1369492	1370637	+	381	COG0505EF	carbamoyl phosphate synthase small subunit
452362	206559638	BCAL1261	1370674	1371333	+	219	COG1280E	leucine export protein LeuE
452362	206559639	BCAL1262	1371383	1374637	+	1084	COG0458EF	carbamoyl phosphate synthase large subunit
452363	206559640	BCAL1263	1374756	1375232	+	158	COG0782K	transcription elongation factor GreA
452363	206559641	BCAL1264	1375247	1375705	+	152	-	hypothetical protein
452364	206559644	BCAL1267	1377324	1379222	+	632	COG0465O	FtsH endopeptidase
452364	206559645	BCAL1268	1379314	1380192	+	292	COG0294H	dihydropteroate synthase
452364	206559646	BCAL1269	1380220	1381575	+	451	COG1109G	phosphoglucosamine mutase
452365	206559647	BCAL1270	1382015	1383049	+	344	COG0226P	phosphate transport system substrate-binding exported periplasmic protein
452365	206559648	BCAL1271	1383144	1384130	+	328	COG0573P	phosphate transporter permease subunit PstC
452365	206559649	BCAL1272	1384169	1385020	+	283	COG0581P	phosphate transporter permease subunit PtsA
452365	206559650	BCAL1273	1385036	1385884	+	282	COG1117P	phosphate transporter ATP-binding protein
452365	206559651	BCAL1274	1385903	1386607	+	234	COG0704P	phosphate transport system-related protein
452365	206559652	BCAL1275	1386639	1387340	+	233	COG0745TK	phosphate regulon two-component regulatory system response regulator protein
452365	206559653	BCAL1276	1387398	1388717	+	439	COG5002T	putative phosphate regulon two-component regulatory system sensor kinase protein
452366	206559660	BCAL1285	1395825	1397204	-	459	COG0534V	MATE family transporter protein
452366	206559661	BCAL1286	1397215	1397538	-	107	COG5626S	hypothetical protein
452367	206559669	BCAL1294	1406501	1408606	+	701	COG3501S	hypothetical protein
452367	206559670	BCAL1295	1408618	1409910	+	430	COG5351S	hypothetical protein
452367	206559671	BCAL1296	1409910	1411085	+	391	-	hypothetical protein
452368	206559672	BCAL1297	1411196	1411993	+	265	COG0666R	hypothetical protein
452368	206559673	BCAL1298	1412009	1413058	+	349	-	hypothetical protein
452368	206559674	BCAL1299	1413060	1413506	+	148	-	hypothetical protein
452368	206559675	BCAL1300	1413509	1413943	+	144	-	hypothetical protein
452369	206559678	BCAL1306	1420374	1421147	-	257	COG1484L	putative IstB-like ATP binding protein
452369	206559679	BCAL1307	1421144	1422172	-	342	COG4584L	putative integrase
452370	206559681	BCAL1315	1428615	1433486	+	1623	COG1112L	hypothetical protein
452370	206559682	BCAL1316	1433479	1435032	+	517	-	hypothetical protein
452371	206559687	BCAL1321	1441964	1443781	-	605	COG0449M	glucosamine--fructose-6-phosphate aminotransferase
452371	206559688	BCAL1322	1443831	1444919	-	362	-	hypothetical protein
452372	206559690	BCAL1324	1447484	1448254	-	256	-	hypothetical protein
452372	206559691	BCAL1325	1448268	1449281	-	337	-	hypothetical protein
452372	206559692	BCAL1326	1449292	1450287	-	331	-	hypothetical protein
452372	206559693	BCAL1327	1450291	1451853	-	520	COG1215M	putative glycosyltransferase
452373	206559696	BCAL1330	1455911	1456372	+	153	COG2080C	2Fe-2S ferredoxin
452373	206559697	BCAL1331	1456369	1458693	+	774	COG1529C	putative aldehyde dehydrogenase
452373	206559698	BCAL1332	1458767	1459534	+	255	COG0235G	aldolase II superfamily protein
452373	206559699	BCAL1333	1459644	1461473	+	609	COG1960I	putative Acyl-CoA dehydrogenase
452374	206559702	BCAL1336	1463507	1465510	+	667	COG1902C	putative 2,4-dienoyl-CoA reductase
452374	206559703	BCAL1337	1465558	1465998	+	146	-	hypothetical protein
452375	206559704	BCAL1338	1466024	1467091	-	355	COG2267I	hypothetical protein
452375	206559705	BCAL1339	1467105	1468763	-	552	COG0654HC	3-(3-hydroxyphenyl)propionate hydroxylase
452375	206559706	BCAL1340	1468815	1469882	-	355	COG1454C	putative maleylacetate reductase
452375	206559707	BCAL1341	1469890	1470192	-	100	-	hypothetical protein
452375	206559708	BCAL1342	1470189	1471070	-	293	COG3485Q	putative hydroxyquinol 1,2-dioxygenase
452376	206559711	BCAL1345	1473322	1475532	+	736	COG1629P	putative TonB-dependent siderophore receptor
452376	206559712	BCAL1346	1475544	1476329	+	261	COG1120PH	putative Fe uptake system ATP-binding protein
452376	206559713	BCAL1347	1476335	1477315	+	326	COG0614P	putative Fe uptake system extracellular binding protein
452376	206559714	BCAL1348	1477312	1478352	+	346	COG0609P	FecCD-family membrane transporter protein
452377	206559715	BCAL1349	1478399	1479790	-	463	COG0642T	two-component regulatory system, sensor kinase protein
452377	206559716	BCAL1350	1479791	1480516	-	241	COG0745TK	two-component regulatory system, response regulator protein
452378	206559719	BCAL1353	1482337	1483734	-	465	-	hypothetical protein
452378	206559720	BCAL1354	1483771	1484034	-	87	COG4104S	hypothetical protein
452379	206559721	BCAL1355	1484514	1487309	+	931	COG3501S	hypothetical protein
452379	206559722	BCAL1356	1487312	1488166	+	284	-	hypothetical protein
452380	206559723	BCAL1357	1488251	1488859	+	202	-	hypothetical protein
452380	206559724	BCAL1358	1488856	1491255	+	799	-	hypothetical protein
452380	206559725	BCAL1359	1491317	1495018	+	1233	COG3501S	hypothetical protein
452381	206559727	BCAL1362	1496284	1499088	+	934	COG3501S	hypothetical protein
452381	206559728	BCAL1363	1499094	1499984	+	296	-	hypothetical protein
452381	206559729	BCAL1364	1499981	1500355	+	124	COG3152S	hypothetical protein
452381	206559730	BCAL1365	1500364	1500843	+	159	-	putative lipoprotein
452381	206559731	BCAL1366	1500849	1502972	+	707	-	hypothetical protein
452382	206559736	BCAL1371	1507929	1510448	+	839	COG4773P	putative TonB-dependent siderophore receptor
452382	206559737	BCAL1372	1510485	1511234	+	249	-	hypothetical protein
452383	206559742	BCAL1377	1514429	1515727	+	432	COG2851C	citrate transporter
452383	206559743	BCAL1378	1515767	1517125	+	452	-	hypothetical protein
452383	206559744	BCAL1379	1517125	1517436	+	103	-	hypothetical protein
452384	206559748	BCAL1383	1520628	1521557	-	309	COG4589R	cytidylyltransferase family protein
452384	206559749	BCAL1384	1521595	1522227	-	210	COG0204I	putative acyltransferase
452385	206559750	BCAL1385	1522695	1523300	+	201	COG0558I	putative CDP-alcohol phosphatidyltransferase
452385	206559751	BCAL1386	1523379	1525148	+	589	COG2267I	putative hydrolase
452385	206559752	BCAL1387	1525145	1526548	+	467	-	putative phosphatase
452385	206559753	BCAL1388	1526548	1527000	+	150	-	hypothetical protein
452386	206559754	BCAL1389	1527849	1530182	+	777	-	cellulose synthase regulator protein
452386	206559755	BCAL1390	1530264	1531415	+	383	COG3405G	endo-1,4-D-glucanase
